phc_id,date,patients
PHC-01,2026-07-24,90
PHC-01,2026-07-25,97
PHC-01,2026-07-26,65
PHC-01,2026-07-27,100
PHC-01,2026-07-28,93
PHC-01,2026-07-29,93
PHC-01,2026-07-30,93
PHC-01,2026-07-31,91
PHC-01,2026-08-01,84
PHC-01,2026-08-02,68
PHC-01,2026-08-03,99
PHC-01,2026-08-04,89
PHC-01,2026-08-05,94
PHC-01,2026-08-06,92
PHC-01,2026-08-07,92
PHC-01,2026-08-08,86
PHC-01,2026-08-09,61
PHC-01,2026-08-10,98
PHC-01,2026-08-11,107
PHC-01,2026-08-12,97
PHC-01,2026-08-13,96
PHC-01,2026-08-14,93
PHC-01,2026-08-15,93
PHC-01,2026-08-16,68
PHC-01,2026-08-17,97
PHC-01,2026-08-18,93
PHC-01,2026-08-19,91
PHC-01,2026-08-20,95
PHC-01,2026-08-21,93
PHC-01,2026-08-22,96
PHC-02,2026-07-24,36
PHC-02,2026-07-25,38
PHC-02,2026-07-26,22
PHC-02,2026-07-27,42
PHC-02,2026-07-28,43
PHC-02,2026-07-29,45
PHC-02,2026-07-30,47
PHC-02,2026-07-31,48
PHC-02,2026-08-01,50
PHC-02,2026-08-02,35
PHC-02,2026-08-03,54
PHC-02,2026-08-04,57
PHC-02,2026-08-05,58
PHC-02,2026-08-06,59
PHC-02,2026-08-07,61
PHC-02,2026-08-08,63
PHC-02,2026-08-09,47
PHC-02,2026-08-10,68
PHC-02,2026-08-11,69
PHC-02,2026-08-12,70
PHC-02,2026-08-13,72
PHC-02,2026-08-14,74
PHC-02,2026-08-15,76
PHC-02,2026-08-16,54
PHC-02,2026-08-17,73
PHC-02,2026-08-18,75
PHC-02,2026-08-19,76
PHC-02,2026-08-20,78
PHC-02,2026-08-21,80
PHC-02,2026-08-22,82
PHC-03,2026-07-24,120
PHC-03,2026-07-25,124
PHC-03,2026-07-26,73
PHC-03,2026-07-27,110
PHC-03,2026-07-28,123
PHC-03,2026-07-29,116
PHC-03,2026-07-30,111
PHC-03,2026-07-31,114
PHC-03,2026-08-01,112
PHC-03,2026-08-02,80
PHC-03,2026-08-03,122
PHC-03,2026-08-04,124
