phc_id,medicine_name,current_stock,daily_consumption,minimum_safety_stock,expiry_date,incoming_shipment_qty,incoming_shipment_eta_days
PHC-001,IV Fluids,2425,192,1344,2027-05-29,0,0
PHC-001,Amoxicillin,830,89,623,2027-01-11,0,0
PHC-001,Insulin,771,64,448,2027-06-26,0,0
PHC-001,Antiseptic Solution,860,65,455,2026-10-21,0,0
PHC-001,Cough Syrup,749,62,434,2027-06-06,0,0
PHC-002,Paracetamol,439,158,1106,2027-07-02,0,0
PHC-002,Cough Syrup,1492,122,854,2027-03-16,0,0
PHC-002,Iron Tablets,1306,102,714,2027-02-04,0,0
PHC-002,Amoxicillin,2044,179,1253,2026-10-18,0,0
PHC-002,Antiseptic Solution,908,73,511,2027-02-10,0,0
PHC-002,Insulin,489,61,427,2026-11-27,0,0
PHC-002,ORS,309,234,1638,2027-05-06,5382,10
PHC-003,Paracetamol,989,67,469,2027-02-11,0,0
PHC-003,Cough Syrup,1736,139,973,2027-04-14,0,0
PHC-003,ORS,1929,187,1309,2026-10-06,0,0
PHC-003,Insulin,1117,79,553,2027-02-02,0,0
PHC-003,Amoxicillin,1146,95,665,2027-02-04,0,0
PHC-003,IV Fluids,516,59,413,2027-05-02,0,0
PHC-004,Cough Syrup,709,71,497,2027-08-12,0,0
PHC-004,Insulin,1168,135,945,2027-01-20,0,0
PHC-004,IV Fluids,1234,129,903,2027-01-01,0,0
PHC-004,Antiseptic Solution,710,87,609,2027-01-25,0,0
PHC-004,ORS,2099,171,1197,2026-10-29,0,0
PHC-004,Amoxicillin,1809,166,1162,2027-08-10,0,0
PHC-004,Iron Tablets,1844,197,1379,2027-04-06,0,0
PHC-004,Paracetamol,1900,176,1232,2026-12-06,0,0
PHC-005,Cough Syrup,1152,89,623,2026-10-24,0,0
PHC-005,Iron Tablets,1693,156,1092,2027-06-26,0,0
PHC-005,Paracetamol,1843,169,1183,2027-01-05,0,0
PHC-005,ORS,1684,157,1099,2027-07-18,0,0
PHC-005,IV Fluids,769,55,385,2027-07-13,0,0
PHC-005,Antiseptic Solution,1666,147,1029,2027-03-21,0,0
PHC-005,Insulin,1672,126,882,2027-04-24,0,0
PHC-006,Amoxicillin,2839,194,1358,2027-05-18,0,0
PHC-006,ORS,582,230,1610,2026-12-16,2990,4
PHC-006,IV Fluids,313,258,1806,2026-10-05,7224,8
PHC-006,Insulin,2203,151,1057,2027-01-01,0,0
PHC-006,Paracetamol,301,138,966,2027-08-09,0,0
PHC-007,Antiseptic Solution,1090,104,728,2027-02-01,0,0
PHC-007,IV Fluids,1364,137,959,2027-07-24,0,0
PHC-007,Amoxicillin,1426,120,840,2027-06-13,0,0
PHC-007,ORS,842,98,686,2027-04-18,0,0
PHC-007,Insulin,2080,175,1225,2027-01-23,0,0
PHC-008,Iron Tablets,1022,82,574,2027-05-31,0,0
PHC-008,Paracetamol,1072,76,532,2027-07-12,0,0
PHC-008,IV Fluids,1376,122,854,2027-05-05,0,0
PHC-008,Antiseptic Solution,1272,137,959,2026-10-18,0,0
PHC-008,Amoxicillin,1662,114,798,2027-05-24,0,0
PHC-008,Insulin,1086,79,553,2027-04-15,0,0
PHC-009,Paracetamol,1581,117,819,2027-08-08,0,0
PHC-009,ORS,2525,200,1400,2027-01-01,0,0
PHC-009,Amoxicillin,1390,158,1106,2027-01-15,0,0
PHC-009,Cough Syrup,1263,88,616,2026-12-03,0,0
PHC-009,Insulin,572,68,476,2027-02-26,0,0
PHC-009,Antiseptic Solution,2817,195,1365,2027-05-04,0,0
PHC-009,Iron Tablets,913,81,567,2027-02-24,0,0
PHC-010,ORS,1298,155,1085,2027-06-14,0,0
PHC-010,Amoxicillin,1754,142,994,2027-06-04,0,0
PHC-010,IV Fluids,2171,163,1141,2027-01-04,0,0
PHC-010,Cough Syrup,1397,118,826,2027-02-16,0,0
PHC-010,Paracetamol,2294,162,1134,2027-05-28,0,0
PHC-010,Antiseptic Solution,664,81,567,2027-08-10,0,0
PHC-010,Insulin,1439,111,777,2027-02-28,0,0
PHC-010,Iron Tablets,1546,191,1337,2027-04-18,0,0
PHC-011,Antiseptic Solution,4571,131,917,2027-04-05,0,0
PHC-011,Amoxicillin,5885,148,1036,2027-08-21,0,0
PHC-011,ORS,2631,88,616,2026-10-10,0,0
PHC-011,Cough Syrup,2463,82,574,2027-07-21,0,0
PHC-011,Insulin,5010,134,938,2027-05-05,0,0
PHC-011,Paracetamol,2288,75,525,2027-05-13,0,0
PHC-011,Iron Tablets,1825,53,371,2027-04-19,0,0
PHC-011,IV Fluids,1913,89,623,2027-02-04,0,0
PHC-012,IV Fluids,1791,199,1393,2027-05-16,0,0
PHC-012,Iron Tablets,1289,115,805,2026-09-26,0,0
PHC-012,Cough Syrup,2418,169,1183,2027-06-28,0,0
PHC-012,ORS,766,90,630,2027-03-17,0,0
