phc_id,medicine,units_per_patient,min_safety_stock,expiry_date,incoming_qty,current_stock,avg_daily_consumption
PHC-01,ORS,4,500,2028-01-04,0,8500,400
PHC-01,Paracetamol,2,500,2028-01-04,0,2860,180
PHC-01,Amoxicillin,1,500,2028-01-04,0,3294,90
PHC-01,IV Fluids,1,500,2028-01-04,0,3130,90
PHC-01,Iron-Folic Acid,5,500,2028-01-04,0,3095,450
PHC-02,ORS,4,500,2028-01-04,0,800,280
PHC-02,Paracetamol,2,500,2028-01-04,0,0,116
PHC-02,Amoxicillin,1,500,2028-01-04,0,3638,58
PHC-02,IV Fluids,1,500,2028-01-04,0,4169,58
PHC-02,Iron-Folic Acid,5,500,2028-01-04,0,2466,292
PHC-03,ORS,4,500,2028-01-04,0,3238,454
PHC-03,Paracetamol,2,500,2028-01-04,0,0,227
PHC-03,Amoxicillin,1,500,2026-09-11,0,2330,113
PHC-03,IV Fluids,1,500,2028-01-04,0,3482,113
PHC-03,Iron-Folic Acid,5,500,2028-01-04,0,4135,567
PHC-04,ORS,4,500,2028-01-04,0,4919,261
PHC-04,Paracetamol,2,500,2028-01-04,0,0,130
PHC-04,Amoxicillin,1,500,2028-01-04,0,2130,65
PHC-04,IV Fluids,1,500,2028-01-04,0,3685,65
PHC-04,Iron-Folic Acid,5,500,2028-01-04,0,2769,327
PHC-05,ORS,4,500,2028-01-04,0,4391,475
PHC-05,Paracetamol,2,500,2028-01-04,0,3515,237
PHC-05,Amoxicillin,1,500,2028-01-04,0,4853,118
PHC-05,IV Fluids,1,500,2028-01-04,0,4433,118
PHC-05,Iron-Folic Acid,5,500,2028-01-04,0,3215,594
PHC-06,ORS,4,500,2028-01-04,0,2955,398
PHC-06,Paracetamol,2,500,2028-01-04,0,4324,199
PHC-06,Amoxicillin,1,500,2028-01-04,0,3184,99
PHC-06,IV Fluids,1,500,2028-01-04,0,2459,99
PHC-06,Iron-Folic Acid,5,500,2028-01-04,0,2021,497
PHC-07,ORS,4,500,2028-01-04,0,4300,377
PHC-07,Paracetamol,2,500,2028-01-04,0,2747,188
PHC-07,Amoxicillin,1,500,2028-01-04,0,4904,94
PHC-07,IV Fluids,1,500,2028-01-04,0,2474,94
PHC-07,Iron-Folic Acid,5,500,2028-01-04,0,3082,471
PHC-08,ORS,4,500,2028-01-04,0,4558,404
PHC-08,Paracetamol,2,500,2028-01-04,0,4047,202
PHC-08,Amoxicillin,1,500,2028-01-04,0,4747,101
PHC-08,IV Fluids,1,500,2028-01-04,0,2975,101
PHC-08,Iron-Folic Acid,5,500,2028-01-04,0,3806,505
PHC-09,ORS,4,500,2028-01-04,0,2189,215
PHC-09,Paracetamol,2,500,2028-01-04,0,4734,107
PHC-09,Amoxicillin,1,500,2028-01-04,0,2562,53
PHC-09,IV Fluids,1,500,2028-01-04,0,3899,53
PHC-09,Iron-Folic Acid,5,500,2028-01-04,0,3267,269
PHC-10,ORS,4,500,2028-01-04,0,4879,162
PHC-10,Paracetamol,2,500,2028-01-04,0,3528,81
PHC-10,Amoxicillin,1,500,2028-01-04,0,2646,40
PHC-10,IV Fluids,1,500,2028-01-04,0,4068,40
PHC-10,Iron-Folic Acid,5,500,2028-01-04,0,4888,203
