phc_id,doctors_sanctioned,doctors_present,nurses_sanctioned,nurses_present,pharmacists_sanctioned,pharmacists_present
PHC-001,3,2,12,8,3,2
PHC-002,6,3,18,11,1,0
PHC-003,8,5,32,23,3,2
PHC-004,6,5,18,12,1,0
PHC-005,5,3,20,16,3,2
PHC-006,9,5,36,24,1,0
PHC-007,8,6,32,22,2,1
PHC-008,6,4,18,14,3,2
PHC-009,4,3,8,6,1,0
PHC-010,8,5,32,23,2,1
PHC-011,5,4,15,14,3,3
PHC-012,9,7,27,23,3,2
PHC-013,9,7,36,32,2,1
PHC-014,8,6,32,26,1,0
PHC-015,6,4,24,18,2,1
PHC-016,7,5,21,16,1,0
PHC-017,5,2,10,5,3,1
PHC-018,4,2,16,12,3,2
PHC-019,6,3,24,14,2,1
PHC-020,9,8,18,16,1,1
PHC-021,10,8,20,15,1,0
PHC-022,9,8,36,35,2,2
PHC-023,8,7,24,22,1,1
PHC-024,8,6,16,11,3,2
PHC-025,5,3,15,13,3,2
PHC-026,4,3,8,6,1,0
PHC-027,5,4,20,17,1,0
PHC-028,10,8,40,30,1,0
PHC-029,10,7,30,25,2,1
PHC-030,10,8,40,31,2,1
PHC-031,5,2,20,13,2,1
PHC-032,4,3,16,13,2,1
PHC-033,10,7,40,32,2,1
PHC-034,3,2,6,4,2,1
PHC-035,3,2,9,6,2,1
PHC-036,10,7,40,30,1,0
PHC-037,5,3,15,12,2,1
PHC-038,5,4,20,17,3,2
PHC-039,10,9,40,36,3,3
PHC-040,5,3,20,15,3,2
PHC-041,10,8,20,17,1,0
PHC-042,10,7,30,24,1,0
PHC-043,7,5,14,11,2,1
PHC-044,7,5,21,16,2,1
PHC-045,9,6,36,28,3,2
PHC-046,9,7,36,27,2,1
PHC-047,8,6,32,24,1,0
PHC-048,4,3,12,8,1,0
PHC-049,7,5,28,20,2,1
PHC-050,5,3,10,8,2,1
PHC-051,7,6,21,17,2,1
PHC-052,6,5,24,18,1,0
PHC-053,8,6,32,27,2,1
PHC-054,10,8,20,16,1,0
PHC-055,4,3,16,11,2,1
PHC-056,7,5,28,21,1,0
PHC-057,6,2,12,7,2,0
PHC-058,5,2,20,13,3,1
PHC-059,6,3,24,13,3,2
PHC-060,3,2,6,4,3,2
PHC-061,4,2,16,13,3,2
PHC-062,7,5,28,22,3,2
PHC-063,5,4,15,14,1,1
PHC-064,5,2,20,12,3,0
PHC-065,9,6,27,22,1,0
PHC-066,3,2,6,4,3,2
PHC-067,4,3,12,10,1,0
PHC-068,5,4,15,14,1,1
PHC-069,4,3,12,9,3,2
PHC-070,7,6,14,13,1,1
PHC-071,9,6,27,21,1,0
PHC-072,6,5,18,17,2,2
PHC-073,8,5,24,20,3,2
PHC-074,3,2,6,5,3,2
PHC-075,7,5,21,16,2,1
PHC-076,7,5,28,22,1,0
PHC-077,6,4,24,20,2,1
PHC-078,3,2,6,4,1,0
PHC-079,9,7,27,23,2,1
PHC-080,9,7,36,28,1,0
PHC-081,7,6,28,25,1,1
PHC-082,9,6,36,26,1,0
PHC-083,8,7,32,27,2,1
PHC-084,5,3,10,7,3,2
PHC-085,10,7,40,34,2,1
PHC-086,4,3,16,12,3,2
PHC-087,9,5,18,11,2,0
PHC-088,10,8,20,17,1,0
PHC-089,8,7,24,20,3,2
PHC-090,7,5,14,9,1,0
PHC-091,8,5,32,25,2,1
PHC-092,4,2,12,9,3,2
PHC-093,8,5,32,27,3,2
PHC-094,9,6,18,13,2,1
PHC-095,9,8,18,17,2,2
PHC-096,7,3,21,13,3,1
PHC-097,7,5,14,11,1,0
PHC-098,10,8,40,30,2,1
PHC-099,5,3,20,15,1,0
PHC-100,8,6,16,13,3,2
PHC-101,10,8,30,23,3,2
PHC-102,10,7,40,31,2,1
PHC-103,8,5,24,19,2,1
PHC-104,4,3,16,11,3,2
PHC-105,9,6,36,27,1,0
PHC-106,6,4,18,14,3,2
PHC-107,5,4,15,12,1,0
PHC-108,10,8,20,16,2,1
PHC-109,8,6,24,21,1,0
PHC-110,3,2,9,8,1,0
PHC-111,4,2,12,8,2,1
PHC-112,6,4,18,13,3,2
PHC-113,10,5,20,11,2,1
PHC-114,8,6,16,12,3,2
PHC-115,10,8,40,34,2,1
PHC-116,4,1,8,4,1,0
PHC-117,8,6,16,12,3,2
PHC-118,3,2,9,8,2,2
PHC-119,7,6,28,21,2,1
PHC-120,6,5,12,8,2,1
PHC-121,4,3,8,5,2,1
PHC-122,6,4,12,9,1,0
PHC-123,5,3,15,11,3,2
PHC-124,10,7,40,32,2,1
PHC-125,7,5,14,10,2,1
PHC-126,10,7,40,28,2,1
PHC-127,7,6,21,18,3,2
PHC-128,5,4,15,11,1,0
PHC-129,9,7,27,24,3,2
PHC-130,6,4,24,17,2,1
PHC-131,8,6,16,11,3,2
PHC-132,9,6,36,29,1,0
PHC-133,3,1,6,3,1,0
PHC-134,6,5,12,8,3,2
PHC-135,6,4,18,14,3,2
PHC-136,5,4,10,9,1,1
PHC-137,4,3,8,6,1,0
PHC-138,6,4,24,19,2,1
PHC-139,5,4,10,9,2,2
PHC-140,3,2,12,10,2,1
PHC-141,9,6,27,23,2,1
PHC-142,5,2,10,5,1,0
PHC-143,8,6,24,17,2,1
PHC-144,8,7,24,21,1,0
PHC-145,3,2,6,4,1,0
PHC-146,8,7,16,13,2,1
PHC-147,7,6,21,20,1,1
PHC-148,4,3,16,13,2,1
PHC-149,3,2,9,7,1,0
PHC-150,8,6,24,19,1,0
